# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810847e+02,4.630769e+02,-1.834622e+02,-7.350467e-03,1.902110e+03,2.732148e-03,9.964809e-01,7.238944e-09,7.120942e-09,1.435989e-08,2.732148e-03,8.522967e-03,1.125513e-02,9.964809e-01,7.869437e-04,4.831926e+01,1.743051e+00
7.810847e+02,4.723077e+02,-1.871192e+02,-7.496988e-03,1.940026e+03,2.733599e-03,9.964794e-01,3.574060e-09,6.475510e-09,1.004957e-08,2.733599e-03,8.692120e-03,1.142573e-02,9.964794e-01,7.869424e-04,4.928243e+01,1.777797e+00
7.810847e+02,4.815385e+02,-1.907763e+02,-7.643509e-03,1.977942e+03,2.734783e-03,9.964783e-01,4.456967e-09,5.944614e-09,1.040158e-08,2.734783e-03,8.861243e-03,1.159604e-02,9.964783e-01,7.869413e-04,5.024561e+01,1.812542e+00
7.810847e+02,4.907692e+02,-1.944333e+02,-7.790030e-03,2.015857e+03,2.735728e-03,9.964773e-01,6.773339e-09,4.777569e-09,1.155091e-08,2.735728e-03,9.030338e-03,1.176608e-02,9.964773e-01,7.869404e-04,5.120878e+01,1.847287e+00
7.810847e+02,5.000000e+02,-1.980904e+02,-7.936551e-03,2.053773e+03,2.736447e-03,9.964766e-01,6.074833e-09,3.507071e-09,9.581903e-09,2.736447e-03,9.199404e-03,1.193586e-02,9.964766e-01,7.869397e-04,5.217196e+01,1.882032e+00
7.811695e+02,1.400000e+02,-5.023725e+01,-2.012771e-03,4.750263e+02,1.489082e-03,9.977052e-01,1.731222e-05,3.502914e-07,1.766251e-05,1.489082e-03,2.135335e-03,3.642080e-03,9.977052e-01,7.880751e-04,1.323121e+01,4.772979e-01
7.811695e+02,1.492308e+02,-5.354960e+01,-2.145481e-03,5.063467e+02,1.717603e-03,9.974901e-01,4.155281e-06,2.578611e-07,4.413142e-06,1.717603e-03,2.275966e-03,3.997982e-03,9.974901e-01,7.878751e-04,1.410360e+01,5.087681e-01
7.811695e+02,1.584615e+02,-5.686195e+01,-2.278191e-03,5.376671e+02,1.864551e-03,9.973367e-01,1.082249e-05,1.884316e-07,1.101092e-05,1.864551e-03,2.416577e-03,4.292139e-03,9.973367e-01,7.877421e-04,1.497599e+01,5.402383e-01
7.811695e+02,1.676923e+02,-6.017429e+01,-2.410901e-03,5.689875e+02,1.982652e-03,9.972165e-01,1.301155e-05,1.569954e-07,1.316854e-05,1.982652e-03,2.557169e-03,4.552989e-03,9.972165e-01,7.876342e-04,1.584837e+01,5.717085e-01
7.811695e+02,1.769231e+02,-6.348664e+01,-2.543611e-03,6.003079e+02,2.088781e-03,9.971182e-01,5.380263e-06,1.467798e-07,5.527043e-06,2.088781e-03,2.697740e-03,4.792048e-03,9.971182e-01,7.875375e-04,1.672076e+01,6.031787e-01
