# distance_um=4.5
# waist_um=2.0
# t_gate_us=9
# delta_start_mhz=-80
# delta_end_mhz=80
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=80.0
# sweep_delta_max_mhz=80.0
# n_delta=1
# sweep_tgate_min_us=9.0
# sweep_tgate_max_us=9.0
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810847e+02,3.061538e+02,-1.212923e+02,-4.859611e-03,1.257541e+03,4.834493e-04,9.987280e-01,1.815577e-07,1.653041e-07,3.468618e-07,4.834493e-04,1.125406e-02,1.173786e-02,9.987280e-01,7.881949e-04,3.194529e+01,1.152383e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.153846e+02,-1.249493e+02,-5.006132e-03,1.295457e+03,4.863668e-04,9.987251e-01,2.151724e-07,1.444539e-07,3.596263e-07,4.863668e-04,1.159141e-02,1.207814e-02,9.987251e-01,7.881920e-04,3.290847e+01,1.187128e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.246154e+02,-1.286064e+02,-5.152653e-03,1.333373e+03,4.887066e-04,9.987228e-01,2.260909e-07,1.256187e-07,3.517096e-07,4.887066e-04,1.192864e-02,1.241770e-02,9.987228e-01,7.881909e-04,3.387164e+01,1.221873e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.338462e+02,-1.322634e+02,-5.299174e-03,1.371289e+03,4.907432e-04,9.987209e-01,1.040581e-07,1.096905e-07,2.137486e-07,4.907432e-04,1.226575e-02,1.275671e-02,9.987209e-01,7.881910e-04,3.483481e+01,1.256619e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.430769e+02,-1.359205e+02,-5.445695e-03,1.409204e+03,4.923931e-04,9.987193e-01,2.430203e-08,8.747838e-08,1.117804e-07,4.923931e-04,1.260275e-02,1.309526e-02,9.987193e-01,7.881920e-04,3.579799e+01,1.291364e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.523077e+02,-1.395775e+02,-5.592216e-03,1.447120e+03,4.936628e-04,9.987181e-01,2.883600e-08,6.377158e-08,9.260758e-08,4.936628e-04,1.293964e-02,1.343339e-02,9.987181e-01,7.881937e-04,3.676116e+01,1.326109e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.615385e+02,-1.432346e+02,-5.738737e-03,1.485036e+03,4.947022e-04,9.987170e-01,2.929385e-08,4.728420e-08,7.657805e-08,4.947022e-04,1.327641e-02,1.377118e-02,9.987170e-01,7.881959e-04,3.772434e+01,1.360854e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.707692e+02,-1.468917e+02,-5.885258e-03,1.522952e+03,4.955831e-04,9.987162e-01,9.357185e-09,3.646238e-08,4.581956e-08,4.955831e-04,1.361306e-02,1.410869e-02,9.987162e-01,7.881983e-04,3.868751e+01,1.395599e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.800000e+02,-1.505487e+02,-6.031779e-03,1.560868e+03,4.962978e-04,9.987155e-01,2.855871e-09,2.813279e-08,3.098867e-08,4.962978e-04,1.394960e-02,1.444593e-02,9.987155e-01,7.882008e-04,3.965069e+01,1.430345e+00,8.000000e+01,9.000000e+00
7.810847e+02,3.892308e+02,-1.542058e+02,-6.178300e-03,1.598784e+03,4.968729e-04,9.987149e-01,5.333447e-09,2.394160e-08,2.927505e-08,4.968729e-04,1.428602e-02,1.478293e-02,9.987149e-01,7.882034e-04,4.061386e+01,1.465090e+00,8.000000e+01,9.000000e+00
