# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-11.4
# delta_end_mhz=11.4
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=11.4
# sweep_delta_max_mhz=11.4
# n_delta=1
# sweep_tgate_min_us=4.5
# sweep_tgate_max_us=4.5
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,4.815385e+02,-2.127677e+02,-8.524599e-03,2.443678e+03,8.677463e-03,9.905402e-01,6.274025e-09,1.994873e-09,8.268898e-09,8.677463e-03,1.093631e-02,1.961378e-02,9.905402e-01,7.823253e-04,5.603757e+01,2.021479e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.907692e+02,-2.168463e+02,-8.688010e-03,2.490522e+03,8.683824e-03,9.905338e-01,4.908544e-09,1.400710e-09,6.309254e-09,8.683824e-03,1.114478e-02,1.982861e-02,9.905338e-01,7.823204e-04,5.711177e+01,2.060230e+00,1.140000e+01,4.500000e+00
7.810000e+02,5.000000e+02,-2.209249e+02,-8.851421e-03,2.537365e+03,8.690621e-03,9.905271e-01,4.722540e-09,9.814789e-10,5.704019e-09,8.690621e-03,1.135320e-02,2.004383e-02,9.905271e-01,7.823151e-04,5.818598e+01,2.098980e+00,1.140000e+01,4.500000e+00
7.810847e+02,1.400000e+02,-5.546531e+01,-2.222234e-03,5.750565e+02,8.534118e-03,9.906641e-01,1.928821e-05,1.226683e-07,1.941088e-05,8.534118e-03,2.584409e-03,1.113794e-02,9.906641e-01,7.823986e-04,1.460815e+01,5.269691e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.492308e+02,-5.912237e+01,-2.368755e-03,6.129723e+02,8.610934e-03,9.905780e-01,2.858001e-05,1.130347e-07,2.869304e-05,8.610934e-03,2.754575e-03,1.139420e-02,9.905780e-01,7.823429e-04,1.557132e+01,5.617143e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.584615e+02,-6.277942e+01,-2.515276e-03,6.508882e+02,8.687572e-03,9.905164e-01,1.361855e-05,9.975930e-08,1.371831e-05,8.687572e-03,2.924711e-03,1.162600e-02,9.905164e-01,7.822855e-04,1.653450e+01,5.964595e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.676923e+02,-6.643647e+01,-2.661797e-03,6.888040e+02,8.747862e-03,9.904667e-01,3.100435e-06,6.953898e-08,3.169974e-06,8.747862e-03,3.094819e-03,1.184585e-02,9.904667e-01,7.822408e-04,1.749767e+01,6.312047e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.769231e+02,-7.009353e+01,-2.808318e-03,7.267198e+02,8.773861e-03,9.904383e-01,5.517047e-06,4.999218e-08,5.567039e-06,8.773861e-03,3.264898e-03,1.204433e-02,9.904383e-01,7.822233e-04,1.846085e+01,6.659499e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.861538e+02,-7.375058e+01,-2.954839e-03,7.646356e+02,8.789997e-03,9.904236e-01,4.167758e-06,4.274192e-08,4.210500e-06,8.789997e-03,3.434947e-03,1.222915e-02,9.904236e-01,7.822130e-04,1.942402e+01,7.006951e-01,1.140000e+01,4.500000e+00
7.810847e+02,1.953846e+02,-7.740763e+01,-3.101360e-03,8.025514e+02,8.802122e-03,9.904144e-01,1.279947e-06,3.034518e-08,1.310292e-06,8.802122e-03,3.604968e-03,1.240840e-02,9.904144e-01,7.822056e-04,2.038720e+01,7.354403e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.046154e+02,-8.106469e+01,-3.247881e-03,8.404672e+02,8.804448e-03,9.904117e-01,1.662569e-06,2.007566e-08,1.682645e-06,8.804448e-03,3.774959e-03,1.258109e-02,9.904117e-01,7.822059e-04,2.135037e+01,7.701855e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.138462e+02,-8.472174e+01,-3.394402e-03,8.783830e+02,8.800369e-03,9.904155e-01,1.890633e-06,2.075672e-08,1.911390e-06,8.800369e-03,3.944922e-03,1.274720e-02,9.904155e-01,7.822109e-04,2.231354e+01,8.049307e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.230769e+02,-8.837879e+01,-3.540923e-03,9.162989e+02,8.794867e-03,9.904219e-01,1.021286e-06,2.461026e-08,1.045896e-06,8.794867e-03,4.114856e-03,1.291077e-02,9.904219e-01,7.822167e-04,2.327672e+01,8.396760e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.323077e+02,-9.203585e+01,-3.687444e-03,9.542147e+02,8.787138e-03,9.904297e-01,8.946774e-07,2.305037e-08,9.177278e-07,8.787138e-03,4.284760e-03,1.307282e-02,9.904297e-01,7.822243e-04,2.423989e+01,8.744212e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.415385e+02,-9.569290e+01,-3.833965e-03,9.921305e+02,8.776932e-03,9.904400e-01,8.302556e-07,2.305101e-08,8.533066e-07,8.776932e-03,4.454636e-03,1.323242e-02,9.904400e-01,7.822336e-04,2.520307e+01,9.091664e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.507692e+02,-9.934995e+01,-3.980485e-03,1.030046e+03,8.766098e-03,9.904511e-01,5.424186e-07,2.843447e-08,5.708530e-07,8.766098e-03,4.624482e-03,1.339115e-02,9.904511e-01,7.822433e-04,2.616624e+01,9.439116e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.600000e+02,-1.030070e+02,-4.127006e-03,1.067962e+03,8.755278e-03,9.904621e-01,3.909216e-07,2.752983e-08,4.184514e-07,8.755278e-03,4.794300e-03,1.355000e-02,9.904621e-01,7.822529e-04,2.712942e+01,9.786568e-01,1.140000e+01,4.500000e+00
7.810847e+02,2.692308e+02,-1.066641e+02,-4.273527e-03,1.105878e+03,8.744114e-03,9.904733e-01,2.761125e-07,2.212148e-08,2.982340e-07,8.744114e-03,4.964089e-03,1.370850e-02,9.904733e-01,7.822626e-04,2.809259e+01,1.013402e+00,1.140000e+01,4.500000e+00
7.810847e+02,2.784615e+02,-1.103211e+02,-4.420048e-03,1.143794e+03,8.732940e-03,9.904846e-01,2.033460e-07,2.192205e-08,2.252681e-07,8.732940e-03,5.133848e-03,1.386701e-02,9.904846e-01,7.822723e-04,2.905577e+01,1.048147e+00,1.140000e+01,4.500000e+00
7.810847e+02,2.876923e+02,-1.139782e+02,-4.566569e-03,1.181710e+03,8.722325e-03,9.904952e-01,1.628466e-07,1.964425e-08,1.824908e-07,8.722325e-03,5.303579e-03,1.402609e-02,9.904952e-01,7.822815e-04,3.001894e+01,1.082892e+00,1.140000e+01,4.500000e+00
7.810847e+02,2.969231e+02,-1.176352e+02,-4.713090e-03,1.219625e+03,8.712260e-03,9.905053e-01,1.348838e-07,1.289094e-08,1.477748e-07,8.712260e-03,5.473281e-03,1.418569e-02,9.905053e-01,7.822901e-04,3.098212e+01,1.117638e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.061538e+02,-1.212923e+02,-4.859611e-03,1.257541e+03,8.702637e-03,9.905149e-01,1.336455e-07,9.967229e-09,1.436127e-07,8.702637e-03,5.642954e-03,1.434573e-02,9.905149e-01,7.822984e-04,3.194529e+01,1.152383e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.153846e+02,-1.249493e+02,-5.006132e-03,1.295457e+03,8.693672e-03,9.905239e-01,1.391500e-07,8.965758e-09,1.481157e-07,8.693672e-03,5.812598e-03,1.450642e-02,9.905239e-01,7.823060e-04,3.290847e+01,1.187128e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.246154e+02,-1.286064e+02,-5.152653e-03,1.333373e+03,8.685521e-03,9.905320e-01,1.480640e-07,6.066764e-09,1.541308e-07,8.685521e-03,5.982213e-03,1.466789e-02,9.905320e-01,7.823131e-04,3.387164e+01,1.221873e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.338462e+02,-1.322634e+02,-5.299174e-03,1.371289e+03,8.678052e-03,9.905395e-01,1.444171e-07,4.304802e-09,1.487219e-07,8.678052e-03,6.151799e-03,1.483000e-02,9.905395e-01,7.823195e-04,3.483481e+01,1.256619e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.430769e+02,-1.359205e+02,-5.445695e-03,1.409204e+03,8.671265e-03,9.905463e-01,1.253295e-07,5.249959e-09,1.305794e-07,8.671265e-03,6.321356e-03,1.499275e-02,9.905463e-01,7.823254e-04,3.579799e+01,1.291364e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.523077e+02,-1.395775e+02,-5.592216e-03,1.447120e+03,8.665281e-03,9.905523e-01,1.297729e-07,6.204646e-09,1.359775e-07,8.665281e-03,6.490884e-03,1.515630e-02,9.905523e-01,7.823306e-04,3.676116e+01,1.326109e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.615385e+02,-1.432346e+02,-5.738737e-03,1.485036e+03,8.660064e-03,9.905575e-01,1.068865e-07,5.657461e-09,1.125439e-07,8.660064e-03,6.660383e-03,1.532056e-02,9.905575e-01,7.823350e-04,3.772434e+01,1.360854e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.707692e+02,-1.468917e+02,-5.885258e-03,1.522952e+03,8.655525e-03,9.905621e-01,7.181709e-08,6.306337e-09,7.812342e-08,8.655525e-03,6.829853e-03,1.548546e-02,9.905621e-01,7.823391e-04,3.868751e+01,1.395599e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.800000e+02,-1.505487e+02,-6.031779e-03,1.560868e+03,8.651709e-03,9.905659e-01,6.912743e-08,7.864160e-09,7.699159e-08,8.651709e-03,6.999295e-03,1.565108e-02,9.905659e-01,7.823423e-04,3.965069e+01,1.430345e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.892308e+02,-1.542058e+02,-6.178300e-03,1.598784e+03,8.648637e-03,9.905690e-01,4.981569e-08,7.041130e-09,5.685682e-08,8.648637e-03,7.168707e-03,1.581740e-02,9.905690e-01,7.823451e-04,4.061386e+01,1.465090e+00,1.140000e+01,4.500000e+00
7.810847e+02,3.984615e+02,-1.578628e+02,-6.324820e-03,1.636699e+03,8.646220e-03,9.905714e-01,2.766233e-08,5.947229e-09,3.360956e-08,8.646220e-03,7.338091e-03,1.598434e-02,9.905714e-01,7.823474e-04,4.157704e+01,1.499835e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.076923e+02,-1.615199e+02,-6.471341e-03,1.674615e+03,8.644449e-03,9.905732e-01,2.643846e-08,6.250032e-09,3.268849e-08,8.644449e-03,7.507446e-03,1.615193e-02,9.905732e-01,7.823491e-04,4.254021e+01,1.534580e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.169231e+02,-1.651769e+02,-6.617862e-03,1.712531e+03,8.643342e-03,9.905743e-01,2.442205e-08,5.123122e-09,2.954517e-08,8.643342e-03,7.676771e-03,1.632014e-02,9.905743e-01,7.823502e-04,4.350339e+01,1.569325e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.261538e+02,-1.688340e+02,-6.764383e-03,1.750447e+03,8.642856e-03,9.905748e-01,1.933510e-08,3.329677e-09,2.266478e-08,8.642856e-03,7.846068e-03,1.648895e-02,9.905748e-01,7.823508e-04,4.446656e+01,1.604071e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.353846e+02,-1.724910e+02,-6.910904e-03,1.788363e+03,8.642945e-03,9.905747e-01,2.071468e-08,2.915081e-09,2.362976e-08,8.642945e-03,8.015336e-03,1.665830e-02,9.905747e-01,7.823510e-04,4.542973e+01,1.638816e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.446154e+02,-1.761481e+02,-7.057425e-03,1.826278e+03,8.643614e-03,9.905740e-01,2.498716e-08,2.493550e-09,2.748071e-08,8.643614e-03,8.184575e-03,1.682822e-02,9.905740e-01,7.823506e-04,4.639291e+01,1.673561e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.538462e+02,-1.798051e+02,-7.203946e-03,1.864194e+03,8.644849e-03,9.905728e-01,2.708349e-08,1.588758e-09,2.867225e-08,8.644849e-03,8.353786e-03,1.699866e-02,9.905728e-01,7.823498e-04,4.735608e+01,1.708306e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.630769e+02,-1.834622e+02,-7.350467e-03,1.902110e+03,8.646602e-03,9.905710e-01,2.469274e-08,1.343256e-09,2.603599e-08,8.646602e-03,8.522967e-03,1.716960e-02,9.905710e-01,7.823486e-04,4.831926e+01,1.743051e+00,1.140000e+01,4.500000e+00
7.810847e+02,4.723077e+02,-1.871192e+02,-7.496988e-03,1.940026e+03,8.648861e-03,9.905688e-01,2.407924e-08,1.795291e-09,2.587453e-08,8.648861e-03,8.692120e-03,1.734101e-02,9.905688e-01,7.823470e-04,4.928243e+01,1.777797e+00,1.140000e+01,4.500000e+00
